Users of this data file should acknowledge the National Park Service.,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: There are two parts to this file. Part I contains information on the sites selected.,,,,,,,,,,,,,,,,,,,,,,,,,,
Part II contains the actual data and begins on line 9.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Part I - Site Information,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR,AIRS_SITE_CODE,TIME_ZONE,LONG_DEC,LAT_DEC,ELEV_mMSL,SITE_NAME,,,,,,,,,,,,,,,,,,,,
ZION-DW,49-053-0130,MST,113.1506,37.1983,1213,Zion National Park - Dalton's Wash,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Part II - Data,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR,PAR,DATE,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
ZION-DW,RNF_MM_HR,2/28/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,2/29/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/1/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/2/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/3/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/4/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/5/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/6/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/7/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/8/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/9/2004 0:00,0,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/10/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/11/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/12/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/13/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/14/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/15/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/16/2004 0:00,0,0,0,0,0,0,0,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/17/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/18/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/19/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZION-DW,RNF_MM_HR,3/20/2004 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
